X   Y   Z   quatX   quatY   quatZ   W
0.0121571 0.391108 0.900404 0.0729107 0.534278 -0.506553 0.672781 
0.0119557 0.391452 0.899257 0.072912 0.534276 -0.506554 0.672782 
0.0117543 0.391796 0.898111 0.0729133 0.534275 -0.506556 0.672782 
0.011553 0.39214 0.896965 0.0729146 0.534273 -0.506557 0.672782 
0.0113516 0.392484 0.895819 0.072916 0.534272 -0.506558 0.672782 
0.0111502 0.392828 0.894673 0.0729173 0.53427 -0.506559 0.672783 
0.0109489 0.393172 0.893526 0.0729187 0.534269 -0.50656 0.672783 
0.0107475 0.393516 0.89238 0.0729201 0.534267 -0.506561 0.672783 
0.0105462 0.39386 0.891234 0.0729215 0.534266 -0.506562 0.672783 
0.0103449 0.394204 0.890088 0.0729229 0.534265 -0.506563 0.672783 
0.0101435 0.394548 0.888942 0.0729243 0.534263 -0.506564 0.672784 
0.00994221 0.394892 0.887796 0.0729257 0.534262 -0.506565 0.672784 
0.00974089 0.395236 0.88665 0.0729271 0.534261 -0.506566 0.672784 
0.00953958 0.39558 0.885504 0.0729286 0.534259 -0.506567 0.672784 
0.00933827 0.395924 0.884358 0.07293 0.534258 -0.506568 0.672784 
0.00913697 0.396269 0.883212 0.0729315 0.534257 -0.506569 0.672784 
0.00893568 0.396613 0.882066 0.0729329 0.534256 -0.50657 0.672784 
0.00873439 0.396957 0.88092 0.0729344 0.534254 -0.506572 0.672784 
0.00853311 0.397301 0.879774 0.0729359 0.534253 -0.506573 0.672784 
0.00833184 0.397645 0.878628 0.0729374 0.534252 -0.506574 0.672784 
0.00813057 0.397989 0.877482 0.0729389 0.534251 -0.506575 0.672784 
0.00792931 0.398333 0.876336 0.0729404 0.53425 -0.506576 0.672784 
0.00772806 0.398677 0.875191 0.072942 0.534248 -0.506577 0.672784 
0.00752682 0.399021 0.874045 0.0729435 0.534247 -0.506578 0.672784 
0.00732558 0.399365 0.872899 0.072945 0.534246 -0.506579 0.672784 
0.00712435 0.399709 0.871753 0.0729466 0.534245 -0.50658 0.672783 
0.00692314 0.400053 0.870607 0.0729482 0.534244 -0.506581 0.672783 
0.00672193 0.400397 0.869462 0.0729497 0.534243 -0.506582 0.672783 
0.00652072 0.400741 0.868316 0.0729513 0.534242 -0.506584 0.672783 
0.00631953 0.401085 0.86717 0.0729529 0.534241 -0.506585 0.672783 
0.00611834 0.401429 0.866024 0.0729545 0.53424 -0.506586 0.672783 
0.00591717 0.401774 0.864879 0.0729561 0.534239 -0.506587 0.672782 
0.005716 0.402118 0.863733 0.0729577 0.534238 -0.506588 0.672782 
0.00551484 0.402462 0.862587 0.0729594 0.534237 -0.506589 0.672782 
0.00531369 0.402806 0.861441 0.072961 0.534236 -0.50659 0.672782 
0.00511255 0.40315 0.860296 0.0729626 0.534235 -0.506591 0.672781 
0.00491142 0.403494 0.85915 0.0729643 0.534234 -0.506592 0.672781 
0.0047103 0.403838 0.858005 0.072966 0.534233 -0.506594 0.672781 
0.00450919 0.404182 0.856859 0.0729676 0.534232 -0.506595 0.672781 
0.00430809 0.404526 0.855713 0.0729693 0.534231 -0.506596 0.67278 
0.00410699 0.404871 0.854568 0.072971 0.53423 -0.506597 0.67278 
0.00390591 0.405215 0.853422 0.0729727 0.534229 -0.506598 0.67278 
0.00370483 0.405559 0.852277 0.0729744 0.534228 -0.506599 0.672779 
0.00350377 0.405903 0.851131 0.0729761 0.534228 -0.5066 0.672779 
0.00330272 0.406247 0.849985 0.0729778 0.534227 -0.506601 0.672779 
0.00310167 0.406591 0.84884 0.0729795 0.534226 -0.506602 0.672778 
0.00290064 0.406935 0.847694 0.0729813 0.534225 -0.506604 0.672778 
0.00269961 0.40728 0.846549 0.072983 0.534224 -0.506605 0.672777 
