lbr_1_joint lbr_2_joint lbr_3_joint lbr_4_joint lbr_5_joint lbr_6_joint lbr_7_joint 
2.2719 -0.347412 2.08541 -0.851051 1.21078 -1.83234 0.304856 
2.27502 -0.347304 2.08365 -0.855244 1.21103 -1.83456 0.307544 
2.27811 -0.347213 2.08191 -0.859408 1.21129 -1.83678 0.310226 
2.28117 -0.347137 2.08017 -0.863546 1.21159 -1.83898 0.312902 
2.28419 -0.347076 2.07845 -0.867656 1.2119 -1.84118 0.315573 
2.28719 -0.347031 2.07675 -0.871739 1.21225 -1.84336 0.318238 
2.29016 -0.347002 2.07505 -0.875796 1.21261 -1.84553 0.320897 
2.29309 -0.346987 2.07337 -0.879827 1.213 -1.84769 0.323552 
2.296 -0.346988 2.07169 -0.883832 1.21342 -1.84984 0.326202 
2.29887 -0.347004 2.07003 -0.887812 1.21386 -1.85197 0.328847 
2.30172 -0.347034 2.06838 -0.891766 1.21433 -1.8541 0.331487 
2.30453 -0.34708 2.06674 -0.895696 1.21482 -1.85622 0.334123 
2.30732 -0.34714 2.06512 -0.899602 1.21533 -1.85832 0.336755 
2.31008 -0.347216 2.0635 -0.903483 1.21587 -1.86041 0.339383 
2.31281 -0.347306 2.06189 -0.90734 1.21643 -1.86249 0.342008 
2.31551 -0.347411 2.0603 -0.911173 1.21702 -1.86456 0.344628 
2.31819 -0.34753 2.05872 -0.914983 1.21762 -1.86662 0.347246 
2.32083 -0.347664 2.05714 -0.91877 1.21826 -1.86866 0.34986 
2.32345 -0.347812 2.05558 -0.922534 1.21891 -1.8707 0.35247 
2.32604 -0.347975 2.05403 -0.926276 1.21959 -1.87272 0.355078 
2.3286 -0.348153 2.05249 -0.929995 1.2203 -1.87473 0.357683 
2.33114 -0.348344 2.05096 -0.933692 1.22102 -1.87673 0.360286 
2.33365 -0.34855 2.04944 -0.937367 1.22177 -1.87872 0.362886 
2.33614 -0.34877 2.04793 -0.941021 1.22254 -1.8807 0.365483 
2.33859 -0.349004 2.04642 -0.944653 1.22334 -1.88266 0.368078 
2.34102 -0.349253 2.04493 -0.948263 1.22415 -1.88461 0.370671 
2.34343 -0.349515 2.04345 -0.951853 1.225 -1.88655 0.373262 
